Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-04-05 13:47:51,9.565841,0.031538,0.298138,306.211609
2,2025-04-05 13:47:52,9.575556,0.031166,0.299872,305.548706
3,2025-04-05 13:47:53,9.574919,0.031171,0.300542,304.682648
4,2025-04-05 13:47:54,9.572924,0.031425,0.301313,304.82431
5,2025-04-05 13:47:55,9.573382,0.03123,0.299229,307.217377
6,2025-04-05 13:47:57,9.574407,0.031075,0.297634,306.230652
7,2025-04-05 13:47:58,9.575232,0.031382,0.300446,307.213043
8,2025-04-05 13:47:59,9.575096,0.031457,0.299801,306.997955
9,2025-04-05 13:48:00,9.575858,0.031252,0.300279,304.315948
10,2025-04-05 13:48:01,9.57613,0.031103,0.298882,306.215088
11,2025-04-05 13:48:02,9.576495,0.031285,0.299741,307.309845
12,2025-04-05 13:48:03,9.575577,0.031066,0.300004,304.913483
13,2025-04-05 13:48:04,9.575837,0.031394,0.300418,305.146423
14,2025-04-05 13:48:05,9.576516,0.031499,0.300754,308.157104
15,2025-04-05 13:48:06,9.575482,0.031262,0.299739,305.824036
16,2025-04-05 13:48:07,9.576098,0.031298,0.302216,306.185333
17,2025-04-05 13:48:09,9.575138,0.031285,0.297557,306.906158
18,2025-04-05 13:48:10,9.574636,0.031307,0.300663,304.381287
19,2025-04-05 13:48:11,9.574417,0.031466,0.301119,306.322388
20,2025-04-05 13:48:12,9.573675,0.031231,0.300356,306.474487
21,2025-04-05 13:48:13,9.572422,0.03129,0.300541,306.798676
22,2025-04-05 13:48:14,9.572453,0.031256,0.29977,305.367065
23,2025-04-05 13:48:15,9.572652,0.031235,0.300461,304.421448
24,2025-04-05 13:48:16,9.572495,0.031603,0.301276,306.001404
25,2025-04-05 13:48:17,9.570709,0.031317,0.299429,305.569763
26,2025-04-05 13:48:18,9.571774,0.031511,0.300261,306.343781
27,2025-04-05 13:48:19,9.570469,0.031399,0.299174,304.794281
28,2025-04-05 13:48:21,9.568515,0.031121,0.3,304.727814
29,2025-04-05 13:48:22,9.56862,0.03143,0.298267,306.593933
30,2025-04-05 13:48:23,9.568097,0.031222,0.301169,306.450256
31,2025-04-05 13:48:24,9.567388,0.031355,0.300336,307.828827
32,2025-04-05 13:48:25,9.567,0.031405,0.299473,306.882019
33,2025-04-05 13:48:26,9.566238,0.031204,0.299144,304.716614
34,2025-04-05 13:48:27,9.565893,0.031382,0.300532,303.169952
35,2025-04-05 13:48:28,9.565089,0.031534,0.300031,304.635529
36,2025-04-05 13:48:29,9.564619,0.031438,0.300699,302.346832
37,2025-04-05 13:48:30,9.563501,0.031414,0.299941,306.568665
38,2025-04-05 13:48:31,9.563491,0.03157,0.301551,305.687866
39,2025-04-05 13:48:33,9.561736,0.031426,0.298966,304.413055
40,2025-04-05 13:48:34,9.560859,0.031443,0.298595,304.541534
41,2025-04-05 13:48:36,9.559501,0.031251,0.298859,304.228699
42,2025-04-05 13:48:37,9.558811,0.031453,0.298848,305.022095
43,2025-04-05 13:48:38,9.559083,0.031387,0.29777,306.370331
44,2025-04-05 13:48:39,9.558383,0.031226,0.299348,304.149536
45,2025-04-05 13:48:40,9.556451,0.031444,0.299556,303.759064
46,2025-04-05 13:48:41,9.557328,0.031463,0.300639,304.813049
47,2025-04-05 13:48:42,9.556304,0.031283,0.299489,305.315247
48,2025-04-05 13:48:43,9.5548,0.031272,0.299459,304.819946
49,2025-04-05 13:48:44,9.555197,0.031339,0.298804,306.381073
50,2025-04-05 13:48:45,9.55384,0.031466,0.299854,304.011475
51,2025-04-05 13:48:46,9.553923,0.031338,0.300429,304.918274
52,2025-04-05 13:48:48,9.552178,0.031004,0.299862,304.255554
53,2025-04-05 13:48:49,9.551635,0.031359,0.300628,305.338928
54,2025-04-05 13:48:50,9.550278,0.031505,0.301829,303.714661
55,2025-04-05 13:48:51,9.55012,0.031563,0.300006,305.517334
56,2025-04-05 13:48:52,9.549024,0.031408,0.299954,303.882141
57,2025-04-05 13:48:53,9.549755,0.031507,0.299675,303.416595
58,2025-04-05 13:48:54,9.548815,0.031543,0.301276,306.378052
59,2025-04-05 13:48:55,9.547948,0.031451,0.299774,303.005371
60,2025-04-05 13:48:56,9.54682,0.031386,0.301189,302.942688
61,2025-04-05 13:48:57,9.546569,0.03147,0.299835,305.073914
62,2025-04-05 13:48:58,9.545525,0.031607,0.297971,303.45755
63,2025-04-05 13:49:00,9.544584,0.031288,0.299115,303.110199
64,2025-04-05 13:49:01,9.544,0.031381,0.300606,302.989014
65,2025-04-05 13:49:02,9.543874,0.031459,0.298927,303.900665
66,2025-04-05 13:49:03,9.543363,0.031424,0.300258,302.85968
67,2025-04-05 13:49:04,9.54214,0.03157,0.298829,304.193695
68,2025-04-05 13:49:05,9.541931,0.031182,0.299916,306.020752
69,2025-04-05 13:49:06,9.541294,0.031285,0.299606,303.624725
70,2025-04-05 13:49:07,9.541347,0.031227,0.299527,302.921478
71,2025-04-05 13:49:08,9.539518,0.031181,0.301492,301.537445
72,2025-04-05 13:49:09,9.539299,0.031608,0.299031,305.002594
73,2025-04-05 13:49:10,9.538464,0.031479,0.299379,303.365723
74,2025-04-05 13:49:12,9.538369,0.031375,0.300831,304.430389
75,2025-04-05 13:49:14,9.53604,0.031446,0.300453,304.935425
76,2025-04-05 13:49:15,9.535674,0.031604,0.300445,303.813629
77,2025-04-05 13:49:16,9.535121,0.031447,0.298501,304.304047
78,2025-04-05 13:49:17,9.535089,0.03142,0.298176,304.841003
79,2025-04-05 13:49:18,9.534066,0.031381,0.299032,302.170197
80,2025-04-05 13:49:19,9.532896,0.031494,0.300561,302.889557
81,2025-04-05 13:49:20,9.533628,0.031301,0.297677,304.862915
82,2025-04-05 13:49:21,9.532761,0.031543,0.29963,303.731415
83,2025-04-05 13:49:23,9.53181,0.031285,0.299645,302.330994
84,2025-04-05 13:49:24,9.53065,0.031565,0.299056,301.653381
85,2025-04-05 13:49:25,9.530138,0.03145,0.299708,303.312683
86,2025-04-05 13:49:27,9.528958,0.03133,0.300085,302.81366
87,2025-04-05 13:49:28,9.528843,0.031439,0.29777,304.39801
88,2025-04-05 13:49:29,9.528018,0.031498,0.299057,304.386597
89,2025-04-05 13:49:30,9.526827,0.031624,0.298691,304.322296
90,2025-04-05 13:49:31,9.526253,0.031507,0.299086,302.800293
91,2025-04-05 13:49:32,9.526148,0.03153,0.299833,301.326752
92,2025-04-05 13:49:33,9.525908,0.031677,0.301319,300.381409
93,2025-04-05 13:49:34,9.524707,0.031499,0.299923,303.64563
94,2025-04-05 13:49:35,9.524853,0.031496,0.299757,300.859955
95,2025-04-05 13:49:36,9.523505,0.031589,0.298133,302.174622
96,2025-04-05 13:49:37,9.522492,0.031373,0.301107,302.475098
97,2025-04-05 13:49:39,9.52175,0.0315,0.300692,300.995636
98,2025-04-05 13:49:40,9.521928,0.031489,0.298475,302.788055
99,2025-04-05 13:49:41,9.521061,0.031399,0.298665,303.232269
100,2025-04-05 13:49:42,9.519578,0.031298,0.298238,305.062653
101,2025-04-05 13:49:43,9.519453,0.031469,0.299575,302.525757
102,2025-04-05 13:49:44,9.519338,0.031343,0.298296,301.769684
103,2025-04-05 13:49:45,9.51846,0.031522,0.299105,302.703552
104,2025-04-05 13:49:46,9.517938,0.031594,0.299712,301.659515
105,2025-04-05 13:49:47,9.518325,0.031573,0.299563,300.529236
106,2025-04-05 13:49:48,9.517718,0.031425,0.299005,300.480621
107,2025-04-05 13:49:49,9.516977,0.031477,0.301268,301.850555
108,2025-04-05 13:49:51,9.515306,0.031448,0.30125,302.528015
109,2025-04-05 13:49:52,9.515525,0.031565,0.300236,300.583252
110,2025-04-05 13:49:53,9.515024,0.03149,0.302264,300.756744
111,2025-04-05 13:49:54,9.513885,0.031693,0.300217,301.527588
112,2025-04-05 13:49:55,9.513823,0.031593,0.298732,301.336914
113,2025-04-05 13:49:56,9.512736,0.031521,0.300854,301.891846
114,2025-04-05 13:49:57,9.513123,0.031613,0.298834,302.12854
115,2025-04-05 13:49:58,9.512361,0.031425,0.297564,301.865509
116,2025-04-05 13:49:59,9.511148,0.031515,0.301482,302.199524
117,2025-04-05 13:50:00,9.51118,0.031476,0.29992,303.551788
118,2025-04-05 13:50:01,9.509769,0.03152,0.300641,300.219177
119,2025-04-05 13:50:02,9.509759,0.031508,0.299238,301.742889
120,2025-04-05 13:50:04,9.508945,0.031288,0.299612,302.189575
121,2025-04-05 13:50:05,9.50742,0.031468,0.298414,302.885864
122,2025-04-05 13:50:06,9.507524,0.031274,0.297638,302.052917
123,2025-04-05 13:50:07,9.507367,0.031362,0.296854,303.142914
124,2025-04-05 13:50:08,9.50673,0.031382,0.298119,301.993988
125,2025-04-05 13:50:09,9.505863,0.031326,0.300314,301.921143
126,2025-04-05 13:50:10,9.505237,0.031517,0.299733,302.557129
127,2025-04-05 13:50:11,9.504714,0.031511,0.298952,299.601776
128,2025-04-05 13:50:12,9.504777,0.031298,0.299201,301.676483
129,2025-04-05 13:50:13,9.503471,0.031637,0.299197,301.667358
130,2025-04-05 13:50:14,9.503962,0.031619,0.299894,299.621887
131,2025-04-05 13:50:16,9.502563,0.031369,0.299095,301.964813
132,2025-04-05 13:50:17,9.502259,0.031303,0.297256,302.496704
133,2025-04-05 13:50:18,9.501361,0.03146,0.297629,303.214874
134,2025-04-05 13:50:19,9.499899,0.031706,0.300342,301.615692
135,2025-04-05 13:50:20,9.499471,0.031473,0.298395,299.840668
136,2025-04-05 13:50:21,9.49945,0.031409,0.29856,302.136536
137,2025-04-05 13:50:22,9.499794,0.031487,0.299115,300.026917
138,2025-04-05 13:50:23,9.498384,0.031468,0.300151,301.132721
139,2025-04-05 13:50:24,9.497778,0.031616,0.300346,301.65741
140,2025-04-05 13:50:25,9.49782,0.031621,0.298919,300.039856
141,2025-04-05 13:50:26,9.497506,0.031672,0.302679,300.66925
142,2025-04-05 13:50:27,9.49573,0.031387,0.299774,301.834778
143,2025-04-05 13:50:29,9.494968,0.031581,0.298347,301.87851
144,2025-04-05 13:50:30,9.494446,0.031555,0.299267,300.199158
145,2025-04-05 13:50:31,9.494049,0.031603,0.298099,301.512451
146,2025-04-05 13:50:32,9.493026,0.031464,0.300573,301.226288
147,2025-04-05 13:50:33,9.493349,0.031537,0.300978,301.228912
148,2025-04-05 13:50:34,9.493235,0.031574,0.301458,300.13623
149,2025-04-05 13:50:35,9.492723,0.031642,0.301448,300.281067
150,2025-04-05 13:50:36,9.491782,0.031537,0.300439,301.263885
151,2025-04-05 13:50:37,9.491908,0.031461,0.298963,301.533569
152,2025-04-05 13:50:38,9.490445,0.031747,0.300575,300.761566
153,2025-04-05 13:50:39,9.489745,0.031607,0.300487,300.159943
154,2025-04-05 13:50:40,9.489348,0.031746,0.300428,300.508698
155,2025-04-05 13:50:42,9.488743,0.031557,0.299121,301.72998
156,2025-04-05 13:50:43,9.488701,0.031474,0.300533,301.336456
157,2025-04-05 13:50:44,9.488074,0.031603,0.302368,299.933197
158,2025-04-05 13:50:45,9.48729,0.031303,0.300003,299.953033
159,2025-04-05 13:50:46,9.487144,0.03178,0.301011,299.263733
160,2025-04-05 13:50:47,9.486455,0.031665,0.301672,299.959534
161,2025-04-05 13:50:48,9.485755,0.031613,0.299042,300.360596
162,2025-04-05 13:50:49,9.485191,0.031555,0.300616,297.891907
163,2025-04-05 13:50:50,9.485286,0.031672,0.300002,301.790527
164,2025-04-05 13:50:51,9.483938,0.031599,0.300528,300.642273
165,2025-04-05 13:50:52,9.483739,0.031586,0.29941,300.761261
166,2025-04-05 13:50:54,9.48235,0.031424,0.298593,297.84375
167,2025-04-05 13:50:55,9.481744,0.031543,0.299916,301.033875
168,2025-04-05 13:50:56,9.481807,0.031492,0.298377,300.182404
169,2025-04-05 13:50:57,9.481504,0.031529,0.298245,301.192261
170,2025-04-05 13:50:58,9.481013,0.031628,0.299756,300.052002
