Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-04-07 07:26:40,8.481126,0.035122,0.300882,257.52771
2,2025-04-07 07:26:42,8.997009,0.033328,0.300167,268.873627
3,2025-04-07 07:26:43,9.022194,0.033442,0.301763,270.521851
4,2025-04-07 07:26:44,9.031062,0.033196,0.300691,273.743713
5,2025-04-07 07:26:45,9.037925,0.03339,0.301138,272.272888
6,2025-04-07 07:26:46,9.04157,0.033277,0.299258,273.488373
7,2025-04-07 07:26:47,9.041204,0.033341,0.298788,271.88324
8,2025-04-07 07:26:48,9.045424,0.033289,0.300914,271.005005
9,2025-04-07 07:26:49,9.045414,0.033263,0.303205,269.7146
10,2025-04-07 07:26:50,9.045184,0.033172,0.300317,272.655914
11,2025-04-07 07:26:51,9.043889,0.033335,0.299313,271.851013
12,2025-04-07 07:26:52,9.042468,0.033131,0.300755,271.373505
13,2025-04-07 07:26:53,9.044161,0.033308,0.301075,273.241913
14,2025-04-07 07:26:55,9.040996,0.033377,0.301285,271.412201
15,2025-04-07 07:26:56,9.043064,0.033242,0.301382,272.071564
16,2025-04-07 07:26:57,9.040985,0.033203,0.299797,272.841522
17,2025-04-07 07:26:58,9.041183,0.033098,0.300179,272.229492
18,2025-04-07 07:26:59,9.039836,0.033075,0.299591,271.669952
19,2025-04-07 07:27:00,9.036421,0.033225,0.299059,271.647247
20,2025-04-07 07:27:01,9.035762,0.033178,0.302108,270.817596
21,2025-04-07 07:27:02,9.037611,0.033157,0.299563,272.532715
22,2025-04-07 07:27:03,9.036326,0.033354,0.299837,270.6008
23,2025-04-07 07:27:04,9.033747,0.033066,0.300021,272.621155
24,2025-04-07 07:27:05,9.031615,0.033225,0.300591,271.985687
25,2025-04-07 07:27:07,9.03314,0.033442,0.302814,271.270233
26,2025-04-07 07:27:08,9.032629,0.03345,0.300788,271.435364
27,2025-04-07 07:27:09,9.027834,0.033261,0.298217,271.535126
28,2025-04-07 07:27:10,9.028294,0.033359,0.299486,272.050293
