Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-04-02 17:45:37,8.925781,0.067883,0.608007,132.664001
2,2025-04-02 17:45:38,9.076772,0.066978,0.605626,135.823883
3,2025-04-02 17:45:39,9.090915,0.066624,0.606436,136.203079
4,2025-04-02 17:45:40,9.096367,0.066645,0.606139,136.809998
5,2025-04-02 17:45:41,9.098007,0.066695,0.60716,136.474625
6,2025-04-02 17:45:42,9.095365,0.066801,0.607691,136.425827
7,2025-04-02 17:45:43,9.096388,0.066772,0.608706,136.169281
8,2025-04-02 17:45:44,9.094466,0.066864,0.607042,136.293015
9,2025-04-02 17:45:45,9.090674,0.066777,0.606891,136.200394
10,2025-04-02 17:45:46,9.087467,0.066823,0.606975,136.168839
11,2025-04-02 17:45:48,9.085054,0.066685,0.607361,136.209671
12,2025-04-02 17:45:49,9.083833,0.066842,0.606818,135.67897
13,2025-04-02 17:45:50,9.080406,0.066779,0.607138,135.507095
14,2025-04-02 17:45:51,9.07674,0.066702,0.604369,135.35849
15,2025-04-02 17:45:53,9.071287,0.06678,0.607366,135.575058
16,2025-04-02 17:45:54,9.069073,0.066848,0.606165,135.785889
17,2025-04-02 17:45:55,9.066807,0.066996,0.607324,135.512878
18,2025-04-02 17:45:56,9.0657,0.066939,0.607473,135.198364
19,2025-04-02 17:45:57,9.063234,0.066953,0.607144,134.832886
20,2025-04-02 17:45:58,9.060571,0.067102,0.606674,135.316177
21,2025-04-02 17:45:59,9.057155,0.067117,0.608014,134.982925
22,2025-04-02 17:46:00,9.055421,0.067006,0.606736,135.23381
23,2025-04-02 17:46:01,9.053958,0.067206,0.606242,134.940094
24,2025-04-02 17:46:03,9.05049,0.067015,0.605231,134.82637
25,2025-04-02 17:46:04,9.045686,0.067066,0.606141,134.65416
26,2025-04-02 17:46:05,9.043952,0.067133,0.606966,134.962158
27,2025-04-02 17:46:06,9.041069,0.06707,0.606247,134.770279
28,2025-04-02 17:46:07,9.038321,0.067166,0.6071,134.875671
29,2025-04-02 17:46:08,9.03805,0.067183,0.606809,134.755569
30,2025-04-02 17:46:09,9.036514,0.067221,0.605153,134.614548
31,2025-04-02 17:46:10,9.032503,0.06734,0.608113,134.191422
32,2025-04-02 17:46:11,9.031824,0.067202,0.607857,134.291168
33,2025-04-02 17:46:12,9.028095,0.067244,0.607843,134.304916
34,2025-04-02 17:46:13,9.025902,0.06702,0.605869,134.649567
35,2025-04-02 17:46:15,9.023729,0.067128,0.605593,134.209625
36,2025-04-02 17:46:16,9.023123,0.067248,0.605258,134.679672
37,2025-04-02 17:46:17,9.018005,0.067257,0.60697,133.990341
38,2025-04-02 17:46:18,9.016637,0.067347,0.607792,133.711121
39,2025-04-02 17:46:19,9.015697,0.067373,0.606001,134.095673
40,2025-04-02 17:46:20,9.011685,0.067187,0.606707,134.00264
41,2025-04-02 17:46:21,9.010213,0.067243,0.605911,134.057098
42,2025-04-02 17:46:22,9.008917,0.067521,0.608314,133.568741
43,2025-04-02 17:46:23,9.006891,0.067361,0.608061,133.667511
44,2025-04-02 17:46:24,9.00381,0.067193,0.60597,133.817368
45,2025-04-02 17:46:25,9.003256,0.067573,0.607765,133.921982
46,2025-04-02 17:46:26,8.999987,0.0672,0.60818,133.450409
47,2025-04-02 17:46:28,8.998346,0.067267,0.605667,133.660904
48,2025-04-02 17:46:29,8.998127,0.067304,0.605972,134.135345
49,2025-04-02 17:46:30,8.99328,0.067423,0.606576,134.05809
50,2025-04-02 17:46:31,8.991714,0.067327,0.604941,133.758347
51,2025-04-02 17:46:32,8.99068,0.067119,0.605142,133.501236
52,2025-04-02 17:46:33,8.988006,0.067509,0.606428,133.268967
53,2025-04-02 17:46:34,8.986783,0.067365,0.605561,133.612122
54,2025-04-02 17:46:35,8.984465,0.067626,0.60767,133.149506
55,2025-04-02 17:46:36,8.984151,0.067325,0.606934,133.154633
56,2025-04-02 17:46:37,8.982501,0.067467,0.606414,132.717682
57,2025-04-02 17:46:38,8.980798,0.067297,0.605969,133.124695
58,2025-04-02 17:46:40,8.977476,0.0675,0.606492,132.714294
59,2025-04-02 17:46:41,8.974677,0.067434,0.605646,133.154755
60,2025-04-02 17:46:42,8.973726,0.067509,0.606903,132.978149
61,2025-04-02 17:46:43,8.973309,0.067561,0.606119,132.494949
62,2025-04-02 17:46:44,8.96936,0.067443,0.605359,132.58046
63,2025-04-02 17:46:45,8.970405,0.0675,0.60493,132.812637
64,2025-04-02 17:46:46,8.968086,0.067501,0.606569,132.708191
65,2025-04-02 17:46:47,8.966539,0.067635,0.605321,132.813126
66,2025-04-02 17:46:48,8.963866,0.067477,0.607683,132.39061
67,2025-04-02 17:46:49,8.96137,0.067425,0.604711,132.906586
68,2025-04-02 17:46:50,8.960973,0.067547,0.605928,132.499435
69,2025-04-02 17:46:52,8.959134,0.067577,0.606243,132.693802
70,2025-04-02 17:46:53,8.957525,0.067614,0.606557,132.226425
71,2025-04-02 17:46:54,8.955363,0.067556,0.604167,132.658997
72,2025-04-02 17:46:55,8.952971,0.067335,0.602866,132.530807
73,2025-04-02 17:46:56,8.952167,0.067558,0.604041,132.460571
74,2025-04-02 17:46:57,8.951247,0.067826,0.604244,131.980865
75,2025-04-02 17:46:58,8.949201,0.067643,0.606386,132.197235
76,2025-04-02 17:46:59,8.946056,0.06762,0.604836,132.352646
77,2025-04-02 17:47:00,8.945158,0.067605,0.603539,132.273819
78,2025-04-02 17:47:01,8.942891,0.067996,0.603346,132.556839
79,2025-04-02 17:47:03,8.942619,0.067753,0.606076,131.846817
80,2025-04-02 17:47:04,8.938357,0.067896,0.606737,132.147537
81,2025-04-02 17:47:05,8.937397,0.067573,0.604249,131.460144
82,2025-04-02 17:47:06,8.938097,0.067724,0.60504,131.819702
83,2025-04-02 17:47:07,8.936311,0.067716,0.605968,131.815643
