Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-04-02 23:11:40,8.785425,0.035108,0.303612,271.109558
2,2025-04-02 23:11:41,9.294206,0.032531,0.300973,286.717651
3,2025-04-02 23:11:42,9.330054,0.032374,0.302406,288.337311
4,2025-04-02 23:11:43,9.345702,0.032301,0.300912,291.553497
5,2025-04-02 23:11:44,9.357777,0.032224,0.299463,292.148102
6,2025-04-02 23:11:45,9.361798,0.03201,0.300498,290.888489
7,2025-04-02 23:11:46,9.367575,0.032096,0.301142,292.750336
8,2025-04-02 23:11:47,9.372902,0.03201,0.29909,291.990112
9,2025-04-02 23:11:48,9.375388,0.032114,0.300642,291.942413
10,2025-04-02 23:11:50,9.375994,0.03208,0.300482,290.695496
11,2025-04-02 23:11:51,9.379482,0.032025,0.30137,292.34613
12,2025-04-02 23:11:52,9.381823,0.032055,0.300098,291.036438
13,2025-04-02 23:11:53,9.38083,0.032162,0.29965,293.664398
14,2025-04-02 23:11:54,9.382177,0.032228,0.299316,293.232666
15,2025-04-02 23:11:55,9.382491,0.032136,0.29961,292.97641
16,2025-04-02 23:11:56,9.384872,0.032141,0.299609,293.51358
17,2025-04-02 23:11:57,9.384883,0.031901,0.301769,292.741211
18,2025-04-02 23:11:58,9.385625,0.032072,0.301582,291.455719
19,2025-04-02 23:11:59,9.386564,0.032205,0.301419,292.238708
20,2025-04-02 23:12:00,9.384444,0.031904,0.301141,292.665588
21,2025-04-02 23:12:02,9.38716,0.031872,0.30161,293.35672
22,2025-04-02 23:12:03,9.387473,0.032167,0.301856,292.226196
23,2025-04-02 23:12:04,9.385364,0.031956,0.30057,294.228607
24,2025-04-02 23:12:05,9.386418,0.032159,0.300046,292.957825
25,2025-04-02 23:12:06,9.387076,0.031945,0.300611,293.816132
26,2025-04-02 23:12:07,9.385541,0.032027,0.301067,293.720215
27,2025-04-02 23:12:08,9.386836,0.032107,0.300733,292.503357
28,2025-04-02 23:12:09,9.384758,0.031973,0.301569,293.738159
29,2025-04-02 23:12:10,9.384925,0.031916,0.29887,294.227081
30,2025-04-02 23:12:11,9.385792,0.032046,0.300253,294.855957
31,2025-04-02 23:12:12,9.386022,0.032029,0.299961,294.238403
32,2025-04-02 23:12:13,9.385562,0.031882,0.299864,292.370392
33,2025-04-02 23:12:15,9.386397,0.032024,0.302638,292.627808
34,2025-04-02 23:12:16,9.384643,0.032153,0.301868,294.740784
35,2025-04-02 23:12:17,9.385468,0.031906,0.30092,293.080292
