Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-03-30 23:54:28,8.5443,0.070164,0.604463,128.978958
2,2025-03-30 23:54:29,9.019938,0.066641,0.599937,135.179214
3,2025-03-30 23:54:30,9.033193,0.066519,0.601732,136.037659
4,2025-03-30 23:54:31,9.037705,0.066601,0.602386,135.45192
5,2025-03-30 23:54:32,9.037339,0.06654,0.602038,135.66243
6,2025-03-30 23:54:33,9.035,0.066407,0.602338,136.03064
7,2025-03-30 23:54:35,9.033568,0.066563,0.60111,135.748428
8,2025-03-30 23:54:36,9.029485,0.066732,0.600813,135.7229
9,2025-03-30 23:54:37,9.027207,0.066586,0.599742,135.639557
10,2025-03-30 23:54:38,9.024889,0.066675,0.60191,135.100937
11,2025-03-30 23:54:39,9.022162,0.066605,0.600663,135.328506
12,2025-03-30 23:54:40,9.018308,0.066545,0.601853,134.915756
13,2025-03-30 23:54:41,9.015091,0.066642,0.601314,135.2995
14,2025-03-30 23:54:42,9.013879,0.066827,0.601641,135.100113
15,2025-03-30 23:54:43,9.010766,0.06659,0.59926,135.74202
16,2025-03-30 23:54:44,9.006337,0.066677,0.601547,134.904266
17,2025-03-30 23:54:45,9.00453,0.066714,0.602672,134.872925
18,2025-03-30 23:54:46,9.002775,0.06679,0.601165,134.681427
19,2025-03-30 23:54:48,8.999067,0.066913,0.601944,134.812042
20,2025-03-30 23:54:49,8.997939,0.066879,0.602068,134.674713
21,2025-03-30 23:54:50,8.994493,0.066762,0.60312,134.432373
22,2025-03-30 23:54:51,8.990617,0.066957,0.603042,134.531647
23,2025-03-30 23:54:52,8.990001,0.066988,0.601682,134.829361
24,2025-03-30 23:54:53,8.985614,0.066801,0.599104,134.862686
25,2025-03-30 23:54:54,8.982668,0.066949,0.600848,134.373749
26,2025-03-30 23:54:55,8.980871,0.067126,0.601504,133.894913
27,2025-03-30 23:54:56,8.979399,0.066883,0.601574,133.919983
28,2025-03-30 23:54:57,8.975658,0.066872,0.601835,134.125763
29,2025-03-30 23:54:58,8.974593,0.067239,0.60197,133.827652
30,2025-03-30 23:54:59,8.971982,0.066898,0.599934,133.567474
31,2025-03-30 23:55:01,8.968723,0.067175,0.601966,133.962082
32,2025-03-30 23:55:02,8.967793,0.066971,0.600421,134.074203
33,2025-03-30 23:55:03,8.964744,0.067075,0.600589,133.81778
34,2025-03-30 23:55:04,8.962205,0.067109,0.601029,133.236496
35,2025-03-30 23:55:05,8.960294,0.066931,0.601042,133.398651
36,2025-03-30 23:55:06,8.957316,0.067209,0.602178,133.392319
37,2025-03-30 23:55:07,8.953702,0.067002,0.60016,133.45842
38,2025-03-30 23:55:08,8.952417,0.0672,0.601434,133.55368
39,2025-03-30 23:55:09,8.950078,0.067192,0.600997,133.222382
40,2025-03-30 23:55:10,8.947185,0.06721,0.599712,133.459351
41,2025-03-30 23:55:11,8.944792,0.067127,0.600922,133.146576
42,2025-03-30 23:55:12,8.942557,0.066879,0.599596,133.188965
43,2025-03-30 23:55:13,8.941533,0.067265,0.600533,132.981079
44,2025-03-30 23:55:15,8.939914,0.067209,0.601168,132.585327
45,2025-03-30 23:55:16,8.936749,0.067302,0.601795,132.778656
46,2025-03-30 23:55:17,8.934733,0.067209,0.603075,132.651917
47,2025-03-30 23:55:18,8.932979,0.067122,0.600652,132.902328
48,2025-03-30 23:55:19,8.930461,0.067195,0.600101,132.753769
49,2025-03-30 23:55:20,8.928236,0.067367,0.602033,132.468582
50,2025-03-30 23:55:21,8.925123,0.067239,0.60215,132.36203
51,2025-03-30 23:55:22,8.922794,0.067445,0.597814,132.8573
52,2025-03-30 23:55:23,8.92084,0.067448,0.600449,132.417053
53,2025-03-30 23:55:24,8.918606,0.06728,0.602082,132.247025
54,2025-03-30 23:55:25,8.917947,0.067448,0.600384,132.274979
55,2025-03-30 23:55:26,8.914865,0.067462,0.600469,132.663803
56,2025-03-30 23:55:28,8.91284,0.067426,0.601633,131.932327
57,2025-03-30 23:55:29,8.910458,0.067325,0.600594,132.424393
58,2025-03-30 23:55:30,8.909633,0.067339,0.600696,132.3992
59,2025-03-30 23:55:31,8.906834,0.067649,0.60169,131.915833
60,2025-03-30 23:55:32,8.905225,0.067263,0.601343,131.666428
61,2025-03-30 23:55:33,8.902822,0.067354,0.603185,131.992401
62,2025-03-30 23:55:34,8.901057,0.067379,0.599977,131.960693
63,2025-03-30 23:55:35,8.897683,0.067415,0.599026,131.795441
64,2025-03-30 23:55:36,8.896669,0.067675,0.600716,132.054993
65,2025-03-30 23:55:37,8.894069,0.067747,0.601682,131.346466
66,2025-03-30 23:55:38,8.893223,0.067666,0.600988,131.352814
67,2025-03-30 23:55:39,8.891207,0.06762,0.600335,131.223419
68,2025-03-30 23:55:40,8.888554,0.067696,0.600378,131.421814
69,2025-03-30 23:55:42,8.887885,0.06753,0.600176,131.142685
70,2025-03-30 23:55:43,8.885546,0.067695,0.604453,131.373566
71,2025-03-30 23:55:44,8.882861,0.067907,0.602038,130.923065
72,2025-03-30 23:55:45,8.881116,0.067713,0.60168,131.570007
73,2025-03-30 23:55:46,8.879612,0.067462,0.600708,131.085846
74,2025-03-30 23:55:47,8.877283,0.067519,0.600536,130.955399
75,2025-03-30 23:55:48,8.874379,0.067734,0.601399,131.079666
76,2025-03-30 23:55:49,8.874034,0.067616,0.600189,130.87886
77,2025-03-30 23:55:50,8.872091,0.067605,0.5991,131.164429
78,2025-03-30 23:55:51,8.869877,0.067847,0.599638,131.267029
79,2025-03-30 23:55:52,8.868143,0.067744,0.600834,130.68222
80,2025-03-30 23:55:53,8.867359,0.06803,0.601718,131.094925
81,2025-03-30 23:55:55,8.864613,0.067791,0.601781,130.281693
82,2025-03-30 23:55:56,8.86244,0.068081,0.603774,130.103775
83,2025-03-30 23:55:57,8.862084,0.068022,0.601806,130.592972
84,2025-03-30 23:55:58,8.860591,0.067892,0.602179,130.60524
85,2025-03-30 23:55:59,8.858418,0.067794,0.599836,130.589157
86,2025-03-30 23:56:00,8.855243,0.067798,0.599093,130.535187
87,2025-03-30 23:56:01,8.853718,0.067857,0.600971,130.55838
88,2025-03-30 23:56:02,8.851419,0.067963,0.601604,130.273773
89,2025-03-30 23:56:03,8.851054,0.068094,0.601084,130.297089
90,2025-03-30 23:56:04,8.848266,0.067907,0.600242,130.442337
91,2025-03-30 23:56:05,8.847712,0.06783,0.600506,130.574265
92,2025-03-30 23:56:06,8.844578,0.067978,0.60082,130.32016
93,2025-03-30 23:56:07,8.844076,0.067848,0.598556,130.040085
94,2025-03-30 23:56:09,8.841663,0.068026,0.600657,129.958099
95,2025-03-30 23:56:10,8.840096,0.067902,0.60057,129.685547
96,2025-03-30 23:56:11,8.838561,0.068094,0.600469,129.855591
97,2025-03-30 23:56:12,8.836963,0.067959,0.602287,129.943756
98,2025-03-30 23:56:13,8.834571,0.067996,0.602589,129.373993
99,2025-03-30 23:56:14,8.834195,0.068043,0.598914,130.273865
100,2025-03-30 23:56:15,8.831228,0.068026,0.600798,129.648865
101,2025-03-30 23:56:16,8.829087,0.068058,0.603372,129.577866
102,2025-03-30 23:56:17,8.829108,0.067937,0.600036,129.578293
103,2025-03-30 23:56:18,8.82681,0.068149,0.600354,129.820007
104,2025-03-30 23:56:19,8.825839,0.068087,0.602079,129.499466
105,2025-03-30 23:56:20,8.823405,0.068063,0.600807,129.38324
106,2025-03-30 23:56:22,8.821879,0.067951,0.600193,129.465698
107,2025-03-30 23:56:23,8.82118,0.068152,0.602026,129.391525
108,2025-03-30 23:56:24,8.819196,0.068186,0.602843,129.168732
109,2025-03-30 23:56:25,8.816699,0.068315,0.602374,128.892197
110,2025-03-30 23:56:26,8.816605,0.068246,0.601728,129.293121
111,2025-03-30 23:56:27,8.813367,0.068155,0.600042,129.847885
112,2025-03-30 23:56:28,8.812364,0.068229,0.601732,129.323273
