Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-03-31 18:27:37,8.815685,0.068554,0.607801,130.17543
2,2025-03-31 18:27:39,9.206338,0.065916,0.605322,140.286499
3,2025-03-31 18:27:40,9.242897,0.065487,0.606628,140.881516
4,2025-03-31 18:27:41,9.257698,0.065483,0.605076,141.493179
5,2025-03-31 18:27:42,9.264739,0.065376,0.606171,141.31163
6,2025-03-31 18:27:43,9.267935,0.065496,0.605704,141.578873
7,2025-03-31 18:27:44,9.269523,0.06541,0.606626,141.03743
8,2025-03-31 18:27:45,9.270473,0.065548,0.608681,141.561401
9,2025-03-31 18:27:46,9.270535,0.065515,0.60789,141.861588
10,2025-03-31 18:27:47,9.270849,0.065086,0.604306,141.460907
11,2025-03-31 18:27:48,9.270223,0.065418,0.603905,141.971497
12,2025-03-31 18:27:49,9.270588,0.065543,0.606961,141.584641
13,2025-03-31 18:27:50,9.268656,0.065556,0.607513,141.717255
14,2025-03-31 18:27:51,9.268019,0.065457,0.605387,141.953522
15,2025-03-31 18:27:52,9.267412,0.065492,0.60596,141.420624
16,2025-03-31 18:27:54,9.266285,0.065335,0.605408,141.528137
17,2025-03-31 18:27:55,9.265219,0.065172,0.605183,141.246277
18,2025-03-31 18:27:56,9.264436,0.065439,0.605596,141.385239
19,2025-03-31 18:27:57,9.264227,0.065718,0.605821,141.697693
20,2025-03-31 18:27:58,9.262044,0.065673,0.607795,141.341309
21,2025-03-31 18:27:59,9.261188,0.065371,0.606085,141.210434
22,2025-03-31 18:28:00,9.260414,0.065829,0.608041,141.339691
23,2025-03-31 18:28:01,9.258388,0.06558,0.606392,141.21257
24,2025-03-31 18:28:02,9.257103,0.065531,0.606911,141.125534
25,2025-03-31 18:28:03,9.255996,0.065545,0.606052,141.253876
26,2025-03-31 18:28:04,9.254899,0.065249,0.60413,141.834137
27,2025-03-31 18:28:05,9.253813,0.065376,0.606215,141.42308
28,2025-03-31 18:28:06,9.252444,0.065245,0.604787,141.537415
29,2025-03-31 18:28:07,9.250188,0.065597,0.606662,141.632095
30,2025-03-31 18:28:09,9.248945,0.065775,0.606706,140.915512
31,2025-03-31 18:28:10,9.24929,0.06581,0.605809,140.998123
32,2025-03-31 18:28:11,9.246668,0.065448,0.607087,141.011078
33,2025-03-31 18:28:12,9.245874,0.065553,0.606098,140.860855
34,2025-03-31 18:28:13,9.244203,0.065588,0.6047,141.044891
35,2025-03-31 18:28:14,9.243001,0.065461,0.606058,141.017593
36,2025-03-31 18:28:15,9.241487,0.065695,0.604963,141.082321
37,2025-03-31 18:28:16,9.240463,0.065459,0.604686,141.168808
38,2025-03-31 18:28:17,9.238489,0.065448,0.603472,140.726334
39,2025-03-31 18:28:18,9.237205,0.065487,0.605782,141.197708
40,2025-03-31 18:28:19,9.235638,0.065562,0.606171,140.485947
41,2025-03-31 18:28:20,9.235261,0.065822,0.607252,141.065659
42,2025-03-31 18:28:21,9.233924,0.06553,0.60572,140.807129
43,2025-03-31 18:28:22,9.231846,0.065387,0.606909,140.135712
44,2025-03-31 18:28:24,9.230937,0.065589,0.606127,140.839371
45,2025-03-31 18:28:25,9.229693,0.065671,0.608384,140.243835
46,2025-03-31 18:28:26,9.229328,0.06558,0.606584,141.15892
47,2025-03-31 18:28:27,9.227302,0.065719,0.605305,140.262894
48,2025-03-31 18:28:28,9.226675,0.065818,0.607523,140.518021
49,2025-03-31 18:28:29,9.225871,0.065875,0.608202,139.891129
50,2025-03-31 18:28:30,9.224325,0.065886,0.608621,139.839279
51,2025-03-31 18:28:31,9.222581,0.065794,0.607029,140.500473
52,2025-03-31 18:28:32,9.220721,0.065751,0.605756,139.879517
53,2025-03-31 18:28:33,9.21929,0.065739,0.60547,140.692947
54,2025-03-31 18:28:34,9.218517,0.065501,0.604601,140.122604
55,2025-03-31 18:28:35,9.2167,0.065635,0.604433,140.09549
56,2025-03-31 18:28:36,9.216271,0.065457,0.603724,139.871765
57,2025-03-31 18:28:38,9.214829,0.065697,0.606522,139.612518
58,2025-03-31 18:28:39,9.212971,0.065808,0.604555,140.067139
59,2025-03-31 18:28:40,9.212125,0.066165,0.606981,139.718338
60,2025-03-31 18:28:41,9.211288,0.065723,0.60458,140.514297
61,2025-03-31 18:28:42,9.209764,0.065758,0.607769,139.702454
62,2025-03-31 18:28:43,9.208385,0.065679,0.607681,139.633759
63,2025-03-31 18:28:44,9.208093,0.065821,0.604531,140.051376
64,2025-03-31 18:28:45,9.207414,0.065935,0.606594,140.102203
65,2025-03-31 18:28:46,9.204854,0.065747,0.604135,140.088837
66,2025-03-31 18:28:47,9.203027,0.065799,0.605979,139.718857
67,2025-03-31 18:28:48,9.202744,0.065858,0.605939,139.519257
68,2025-03-31 18:28:49,9.200749,0.065748,0.605276,139.957825
69,2025-03-31 18:28:50,9.19936,0.065965,0.605389,139.513947
70,2025-03-31 18:28:51,9.198441,0.065645,0.605946,140.495529
71,2025-03-31 18:28:53,9.197333,0.065762,0.604513,139.830765
72,2025-03-31 18:28:54,9.197104,0.065862,0.60398,140.084274
73,2025-03-31 18:28:55,9.196279,0.066074,0.607197,139.680817
74,2025-03-31 18:28:56,9.194785,0.066198,0.606342,139.330414
75,2025-03-31 18:28:57,9.193072,0.065558,0.60359,139.694992
76,2025-03-31 18:28:58,9.192717,0.066134,0.609549,138.624985
77,2025-03-31 18:28:59,9.191306,0.065781,0.606103,138.909256
78,2025-03-31 18:29:00,9.189332,0.066202,0.608477,139.366791
79,2025-03-31 18:29:01,9.188549,0.066012,0.606289,139.392532
80,2025-03-31 18:29:02,9.187661,0.065695,0.607558,139.362183
81,2025-03-31 18:29:03,9.186219,0.065946,0.605091,139.491852
82,2025-03-31 18:29:04,9.185342,0.06597,0.605337,139.179626
83,2025-03-31 18:29:05,9.183713,0.06615,0.60541,139.01799
84,2025-03-31 18:29:06,9.183148,0.065953,0.607902,139.207443
85,2025-03-31 18:29:08,9.181415,0.065736,0.604329,139.612274
86,2025-03-31 18:29:09,9.181049,0.065912,0.607324,138.52034
87,2025-03-31 18:29:10,9.179649,0.066008,0.60531,138.734299
88,2025-03-31 18:29:11,9.178824,0.066116,0.605616,139.09761
89,2025-03-31 18:29:12,9.177874,0.066022,0.604684,139.265152
90,2025-03-31 18:29:13,9.176745,0.066287,0.606477,139.001022
91,2025-03-31 18:29:14,9.175262,0.065755,0.604593,139.237671
92,2025-03-31 18:29:15,9.174354,0.066039,0.606321,138.877792
93,2025-03-31 18:29:16,9.172275,0.06606,0.603378,139.324921
94,2025-03-31 18:29:17,9.170938,0.065966,0.605127,138.98613
95,2025-03-31 18:29:18,9.169768,0.066163,0.607564,138.774979
96,2025-03-31 18:29:19,9.169246,0.065913,0.604761,139.065231
97,2025-03-31 18:29:20,9.167825,0.066146,0.607033,138.551544
98,2025-03-31 18:29:22,9.167105,0.066026,0.605383,138.759415
99,2025-03-31 18:29:23,9.16608,0.066154,0.605163,138.556335
100,2025-03-31 18:29:24,9.164963,0.066148,0.606328,138.180695
101,2025-03-31 18:29:25,9.16418,0.066195,0.605535,138.460938
102,2025-03-31 18:29:26,9.163166,0.066212,0.604516,138.373505
103,2025-03-31 18:29:27,9.161578,0.066203,0.607895,138.647659
104,2025-03-31 18:29:28,9.15996,0.066147,0.606614,138.017914
105,2025-03-31 18:29:29,9.16043,0.066072,0.605118,138.042648
106,2025-03-31 18:29:30,9.158758,0.066043,0.602457,138.820496
107,2025-03-31 18:29:31,9.15668,0.065988,0.606185,138.460449
108,2025-03-31 18:29:32,9.15667,0.066139,0.603797,138.682159
109,2025-03-31 18:29:33,9.15412,0.066503,0.605558,138.086349
110,2025-03-31 18:29:34,9.152899,0.066009,0.606345,138.602432
111,2025-03-31 18:29:35,9.152125,0.065875,0.605285,138.363068
112,2025-03-31 18:29:37,9.151562,0.066085,0.604638,138.138474
113,2025-03-31 18:29:38,9.150851,0.066178,0.604593,138.132599
114,2025-03-31 18:29:39,9.150276,0.066494,0.606553,137.878815
115,2025-03-31 18:29:40,9.149337,0.066199,0.602386,138.174591
116,2025-03-31 18:29:41,9.147404,0.06612,0.604822,137.54213
117,2025-03-31 18:29:42,9.147676,0.066108,0.606103,138.388184
118,2025-03-31 18:29:43,9.146464,0.066209,0.605853,138.395111
119,2025-03-31 18:29:44,9.143706,0.066316,0.605926,138.161514
120,2025-03-31 18:29:45,9.142735,0.066185,0.60651,137.769745
121,2025-03-31 18:29:46,9.141627,0.066216,0.605124,137.744461
122,2025-03-31 18:29:47,9.141231,0.06606,0.605686,137.278122
123,2025-03-31 18:29:48,9.140374,0.066204,0.605306,137.765961
124,2025-03-31 18:29:49,9.139277,0.066169,0.60578,137.872772
125,2025-03-31 18:29:50,9.138463,0.066282,0.603486,137.625504
126,2025-03-31 18:29:52,9.136311,0.066329,0.60657,138.136353
127,2025-03-31 18:29:53,9.136374,0.066215,0.601976,138.372589
128,2025-03-31 18:29:54,9.136029,0.065944,0.604222,137.564285
129,2025-03-31 18:29:55,9.134943,0.066485,0.606172,137.521332
130,2025-03-31 18:29:56,9.133491,0.066365,0.606119,136.943207
131,2025-03-31 18:29:57,9.132812,0.066662,0.608048,137.849747
132,2025-03-31 18:29:58,9.131506,0.066377,0.606193,138.008347
133,2025-03-31 18:30:00,9.12903,0.066051,0.604194,137.888535
134,2025-03-31 18:30:01,9.127526,0.066186,0.604829,137.85791
135,2025-03-31 18:30:02,9.127391,0.066138,0.604137,137.519379
136,2025-03-31 18:30:04,9.125217,0.066254,0.60694,137.63266
137,2025-03-31 18:30:05,9.124382,0.066092,0.603659,137.611099
138,2025-03-31 18:30:06,9.123808,0.066337,0.605604,137.468384
139,2025-03-31 18:30:07,9.123661,0.066264,0.605401,137.21312
140,2025-03-31 18:30:08,9.122575,0.066558,0.606379,137.24646
141,2025-03-31 18:30:09,9.12105,0.066659,0.608155,137.170486
142,2025-03-31 18:30:10,9.120768,0.066525,0.604451,137.728851
143,2025-03-31 18:30:11,9.119065,0.066679,0.60907,137.802643
