Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-04-04 08:07:33,9.38903,0.03202,0.300609,293.30835
2,2025-04-04 08:07:34,9.352241,0.032259,0.30031,292.458099
3,2025-04-04 08:07:35,9.342777,0.032047,0.301034,290.669708
4,2025-04-04 08:07:36,9.335382,0.032088,0.300631,288.721741
5,2025-04-04 08:07:37,9.330859,0.03224,0.298998,291.076782
6,2025-04-04 08:07:38,9.325657,0.032114,0.300217,289.604187
7,2025-04-04 08:07:39,9.321134,0.032358,0.301528,289.378052
8,2025-04-04 08:07:40,9.319003,0.032363,0.301758,289.161194
9,2025-04-04 08:07:41,9.315776,0.032262,0.301098,289.614532
10,2025-04-04 08:07:42,9.313332,0.03229,0.302294,288.823456
11,2025-04-04 08:07:43,9.311399,0.032316,0.300952,286.307953
12,2025-04-04 08:07:44,9.308662,0.032125,0.29909,289.099426
13,2025-04-04 08:07:46,9.307377,0.032346,0.299818,288.157684
14,2025-04-04 08:07:47,9.304692,0.03243,0.300869,287.458893
15,2025-04-04 08:07:48,9.302844,0.032307,0.299961,286.680054
16,2025-04-04 08:07:49,9.300661,0.032401,0.299189,287.771912
17,2025-04-04 08:07:50,9.299031,0.032292,0.300486,286.723999
18,2025-04-04 08:07:51,9.297631,0.032357,0.302186,287.912109
19,2025-04-04 08:07:52,9.296243,0.032484,0.299916,287.517181
20,2025-04-04 08:07:53,9.29478,0.032381,0.300651,287.374908
21,2025-04-04 08:07:54,9.293777,0.032471,0.301817,287.836395
22,2025-04-04 08:07:55,9.292002,0.032162,0.299876,286.540375
23,2025-04-04 08:07:57,9.291521,0.032449,0.301729,286.265869
24,2025-04-04 08:07:58,9.289996,0.032488,0.29938,286.695587
25,2025-04-04 08:07:59,9.288231,0.032387,0.299474,288.200317
26,2025-04-04 08:08:00,9.287029,0.032292,0.299213,287.502167
27,2025-04-04 08:08:01,9.285797,0.032229,0.299549,288.348633
28,2025-04-04 08:08:02,9.284971,0.032037,0.297612,288.61087
29,2025-04-04 08:08:03,9.284627,0.032344,0.298938,287.874847
30,2025-04-04 08:08:04,9.283195,0.032284,0.298923,288.078522
31,2025-04-04 08:08:05,9.282308,0.032309,0.300241,285.099243
32,2025-04-04 08:08:06,9.281807,0.032318,0.300403,286.341003
33,2025-04-04 08:08:07,9.280647,0.032413,0.299945,285.385803
34,2025-04-04 08:08:08,9.279989,0.032615,0.301965,286.665527
35,2025-04-04 08:08:10,9.279247,0.032478,0.300347,286.993439
36,2025-04-04 08:08:11,9.277503,0.032266,0.300901,287.563507
37,2025-04-04 08:08:12,9.275999,0.032287,0.299216,285.186554
38,2025-04-04 08:08:13,9.27509,0.032596,0.300311,284.989868
39,2025-04-04 08:08:14,9.274725,0.032173,0.300867,285.310303
40,2025-04-04 08:08:15,9.274129,0.032348,0.299404,285.756897
41,2025-04-04 08:08:16,9.273513,0.03241,0.299569,287.051056
42,2025-04-04 08:08:17,9.272239,0.032479,0.302139,286.075378
43,2025-04-04 08:08:18,9.271298,0.032232,0.30112,285.75827
44,2025-04-04 08:08:19,9.270891,0.032379,0.300587,286.542603
45,2025-04-04 08:08:20,9.270348,0.032255,0.301379,285.99411
46,2025-04-04 08:08:22,9.26876,0.032292,0.301437,285.380249
47,2025-04-04 08:08:23,9.267475,0.032357,0.299209,287.16153
48,2025-04-04 08:08:24,9.267412,0.032437,0.301116,287.416534
49,2025-04-04 08:08:25,9.266524,0.032379,0.301635,286.484222
50,2025-04-04 08:08:26,9.265836,0.03237,0.300802,284.298401
51,2025-04-04 08:08:27,9.264927,0.032359,0.30048,285.66922
52,2025-04-04 08:08:28,9.264885,0.032505,0.299945,286.661407
53,2025-04-04 08:08:29,9.263673,0.032335,0.302107,283.17511
54,2025-04-04 08:08:30,9.2629,0.032483,0.299598,287.259186
55,2025-04-04 08:08:31,9.261887,0.032368,0.300067,285.549408
56,2025-04-04 08:08:32,9.261458,0.032431,0.299177,287.593414
57,2025-04-04 08:08:34,9.260832,0.032411,0.29941,285.936188
58,2025-04-04 08:08:35,9.260111,0.032365,0.29756,286.056854
59,2025-04-04 08:08:36,9.258931,0.032452,0.300084,286.949738
60,2025-04-04 08:08:37,9.258105,0.03243,0.299812,287.177063
61,2025-04-04 08:08:38,9.257677,0.032426,0.299639,285.831482
62,2025-04-04 08:08:39,9.256152,0.032396,0.300429,285.362793
63,2025-04-04 08:08:40,9.256257,0.032368,0.298019,285.931122
64,2025-04-04 08:08:41,9.256163,0.032471,0.301051,282.655823
65,2025-04-04 08:08:42,9.255003,0.032444,0.302213,284.013763
66,2025-04-04 08:08:43,9.254324,0.032738,0.301948,285.227722
67,2025-04-04 08:08:44,9.253572,0.032566,0.300076,282.751007
68,2025-04-04 08:08:46,9.253301,0.032641,0.300127,285.568665
69,2025-04-04 08:08:47,9.25164,0.032346,0.302145,282.845764
70,2025-04-04 08:08:48,9.250637,0.032302,0.299304,284.063385
71,2025-04-04 08:08:49,9.250627,0.032535,0.299886,286.454529
72,2025-04-04 08:08:50,9.250188,0.032118,0.298698,284.523895
73,2025-04-04 08:08:51,9.248726,0.032233,0.300207,286.202209
74,2025-04-04 08:08:52,9.248715,0.032517,0.30021,284.364532
75,2025-04-04 08:08:53,9.248068,0.032475,0.301637,283.877594
76,2025-04-04 08:08:54,9.247807,0.032441,0.300979,284.691254
77,2025-04-04 08:08:55,9.246803,0.032632,0.300959,284.962311
78,2025-04-04 08:08:56,9.246219,0.03251,0.30137,283.603027
79,2025-04-04 08:08:58,9.245341,0.032263,0.299779,285.573059
80,2025-04-04 08:08:59,9.244474,0.032462,0.29894,285.515961
81,2025-04-04 08:09:00,9.243869,0.032507,0.299967,285.011414
82,2025-04-04 08:09:02,9.243158,0.032495,0.299189,285.405579
83,2025-04-04 08:09:03,9.241811,0.032354,0.300047,286.009674
84,2025-04-04 08:09:04,9.241362,0.032387,0.297348,287.15271
85,2025-04-04 08:09:05,9.24157,0.032432,0.299842,284.563477
86,2025-04-04 08:09:06,9.240484,0.032337,0.299472,283.021606
87,2025-04-04 08:09:07,9.239784,0.032436,0.300676,284.201904
88,2025-04-04 08:09:08,9.239502,0.032354,0.301207,285.16217
89,2025-04-04 08:09:10,9.239158,0.032238,0.300625,286.816162
90,2025-04-04 08:09:11,9.23828,0.032296,0.299503,285.057098
91,2025-04-04 08:09:12,9.23735,0.032554,0.298529,285.512085
92,2025-04-04 08:09:13,9.237142,0.032441,0.298497,284.734558
93,2025-04-04 08:09:14,9.235638,0.032333,0.29816,285.615997
94,2025-04-04 08:09:15,9.235742,0.03237,0.299788,284.564087
95,2025-04-04 08:09:16,9.235136,0.032402,0.299091,283.820251
96,2025-04-04 08:09:17,9.234081,0.032723,0.30277,282.461243
97,2025-04-04 08:09:18,9.233392,0.032444,0.300436,285.24057
98,2025-04-04 08:09:19,9.233893,0.032719,0.302471,282.753662
99,2025-04-04 08:09:20,9.232723,0.032699,0.2991,283.262054
100,2025-04-04 08:09:22,9.232306,0.03263,0.30055,283.385132
101,2025-04-04 08:09:23,9.231219,0.032589,0.301069,284.376343
102,2025-04-04 08:09:24,9.230049,0.032665,0.301221,283.864288
103,2025-04-04 08:09:25,9.22984,0.032505,0.299666,282.927643
104,2025-04-04 08:09:26,9.229015,0.032597,0.299641,282.920654
105,2025-04-04 08:09:27,9.228921,0.032553,0.301196,283.381805
106,2025-04-04 08:09:28,9.22843,0.032615,0.300364,283.837799
107,2025-04-04 08:09:29,9.22726,0.032457,0.300669,282.388184
108,2025-04-04 08:09:30,9.227093,0.032596,0.302228,282.773163
109,2025-04-04 08:09:31,9.226226,0.032627,0.300214,283.577301
110,2025-04-04 08:09:32,9.226236,0.032679,0.300806,284.25827
111,2025-04-04 08:09:33,9.225004,0.032738,0.302802,284.042633
112,2025-04-04 08:09:35,9.224732,0.032601,0.300834,281.383911
113,2025-04-04 08:09:36,9.224325,0.032374,0.299378,282.647644
114,2025-04-04 08:09:37,9.223594,0.032574,0.299839,283.301544
115,2025-04-04 08:09:38,9.222925,0.032623,0.299775,284.759949
116,2025-04-04 08:09:39,9.221995,0.03252,0.299959,283.001129
117,2025-04-04 08:09:40,9.221932,0.03277,0.300397,282.031342
118,2025-04-04 08:09:41,9.221504,0.032602,0.301549,282.331146
119,2025-04-04 08:09:42,9.221818,0.032665,0.29918,282.241394
120,2025-04-04 08:09:43,9.221087,0.032574,0.299346,283.19577
121,2025-04-04 08:09:44,9.220325,0.0328,0.3022,281.782166
122,2025-04-04 08:09:45,9.219728,0.03254,0.301663,283.05246
123,2025-04-04 08:09:47,9.218893,0.032378,0.301603,280.771973
124,2025-04-04 08:09:48,9.218121,0.032413,0.302229,282.455627
125,2025-04-04 08:09:49,9.217212,0.03261,0.299822,284.976013
126,2025-04-04 08:09:50,9.217054,0.032632,0.298788,286.115997
127,2025-04-04 08:09:51,9.216115,0.032526,0.301082,283.314148
128,2025-04-04 08:09:57,9.213222,0.032735,0.300853,282.857483
129,2025-04-04 08:09:58,9.213013,0.032565,0.30115,281.924072
130,2025-04-04 08:09:59,9.212793,0.032487,0.300454,283.157776
131,2025-04-04 08:10:01,9.21202,0.032732,0.297894,284.197876
132,2025-04-04 08:10:02,9.211299,0.032588,0.298949,282.125946
133,2025-04-04 08:10:03,9.21062,0.032168,0.299429,282.702515
134,2025-04-04 08:10:04,9.209764,0.032688,0.299356,282.453522
135,2025-04-04 08:10:05,9.209534,0.032756,0.301832,282.551941
136,2025-04-04 08:10:06,9.209137,0.032596,0.301843,282.765503
137,2025-04-04 08:10:07,9.208312,0.032679,0.300066,282.608093
138,2025-04-04 08:10:08,9.207946,0.032793,0.300567,281.430725
139,2025-04-04 08:10:09,9.207121,0.032596,0.30157,282.067108
140,2025-04-04 08:10:10,9.207173,0.032511,0.299433,281.032288
141,2025-04-04 08:10:12,9.206369,0.032663,0.301145,282.826874
142,2025-04-04 08:10:13,9.205482,0.032533,0.299066,281.987488
143,2025-04-04 08:10:14,9.204457,0.032557,0.299487,281.039886
144,2025-04-04 08:10:15,9.203977,0.032554,0.298855,282.270813
145,2025-04-04 08:10:16,9.203946,0.032653,0.299169,284.276642
146,2025-04-04 08:10:17,9.20359,0.032565,0.299083,280.752686
147,2025-04-04 08:10:18,9.202671,0.032682,0.300133,282.799835
148,2025-04-04 08:10:19,9.202629,0.032514,0.299937,280.25824
149,2025-04-04 08:10:20,9.201731,0.032467,0.300131,281.980988
150,2025-04-04 08:10:21,9.201167,0.032359,0.300076,281.0672
151,2025-04-04 08:10:22,9.201627,0.032764,0.300449,281.127106
152,2025-04-04 08:10:24,9.200864,0.032745,0.300564,280.210114
153,2025-04-04 08:10:25,9.199914,0.032683,0.301602,281.176239
154,2025-04-04 08:10:26,9.198984,0.032492,0.301146,282.889191
155,2025-04-04 08:10:27,9.198483,0.032602,0.300475,281.169861
156,2025-04-04 08:10:28,9.197595,0.032679,0.300849,282.712433
157,2025-04-04 08:10:29,9.197407,0.032569,0.300425,284.2453
158,2025-04-04 08:10:30,9.19655,0.032661,0.300253,281.436615
159,2025-04-04 08:10:31,9.196853,0.032536,0.299208,281.659363
160,2025-04-04 08:10:32,9.196592,0.032808,0.302565,281.16214
161,2025-04-04 08:10:33,9.195526,0.032627,0.299313,281.423187
162,2025-04-04 08:10:34,9.195882,0.032695,0.300711,281.999359
163,2025-04-04 08:10:35,9.195443,0.03245,0.300662,280.07959
164,2025-04-04 08:10:37,9.19395,0.032613,0.299603,280.897369
165,2025-04-04 08:10:38,9.193166,0.032697,0.2995,281.452026
166,2025-04-04 08:10:39,9.192184,0.032578,0.299984,281.340393
167,2025-04-04 08:10:40,9.192822,0.032598,0.299469,282.613373
168,2025-04-04 08:10:41,9.192278,0.03263,0.300684,281.925232
169,2025-04-04 08:10:43,9.191046,0.032661,0.299764,282.081421
170,2025-04-04 08:10:44,9.189844,0.032605,0.300657,283.28302
171,2025-04-04 08:10:45,9.190251,0.03264,0.301918,280.519653
172,2025-04-04 08:10:46,9.190356,0.032796,0.300715,281.792725
173,2025-04-04 08:10:47,9.189416,0.032689,0.30095,280.65918
174,2025-04-04 08:10:48,9.189155,0.032727,0.302824,282.052948
175,2025-04-04 08:10:50,9.187954,0.03261,0.299309,283.02829
176,2025-04-04 08:10:51,9.187912,0.03258,0.301708,281.037506
177,2025-04-04 08:10:52,9.18741,0.032296,0.29752,281.985962
178,2025-04-04 08:10:53,9.18693,0.032753,0.300106,282.384155
179,2025-04-04 08:10:54,9.185373,0.032799,0.302426,279.546448
180,2025-04-04 08:10:55,9.185143,0.032945,0.300572,281.635132
181,2025-04-04 08:10:56,9.184569,0.032628,0.300256,279.389343
182,2025-04-04 08:10:57,9.184903,0.032842,0.301445,279.161865
183,2025-04-04 08:10:58,9.184882,0.032891,0.29946,280.199097
184,2025-04-04 08:10:59,9.183545,0.032849,0.300017,280.358093
185,2025-04-04 08:11:01,9.183326,0.032799,0.302261,280.253754
186,2025-04-04 08:11:03,9.182136,0.032637,0.298417,280.745667
187,2025-04-04 08:11:04,9.181373,0.032728,0.300857,279.899994
188,2025-04-04 08:11:05,9.180297,0.032757,0.300787,279.826111
189,2025-04-04 08:11:06,9.18014,0.032487,0.299313,280.645233
190,2025-04-04 08:11:07,9.180286,0.03289,0.300814,279.63562
191,2025-04-04 08:11:08,9.179274,0.032682,0.3012,279.394562
192,2025-04-04 08:11:09,9.179169,0.032792,0.300202,280.577911
193,2025-04-04 08:11:10,9.178479,0.032927,0.300687,280.700256
194,2025-04-04 08:11:11,9.178114,0.032784,0.301007,280.034332
195,2025-04-04 08:11:13,9.177341,0.032784,0.300796,279.602875
196,2025-04-04 08:11:14,9.176526,0.032563,0.300766,281.112305
197,2025-04-04 08:11:15,9.176537,0.032687,0.300472,281.358734
198,2025-04-04 08:11:16,9.17637,0.03248,0.299287,282.614594
199,2025-04-04 08:11:17,9.175565,0.032575,0.300159,279.940918
200,2025-04-04 08:11:18,9.1752,0.032736,0.30209,278.961182
201,2025-04-04 08:11:19,9.174824,0.032639,0.3019,280.617737
202,2025-04-04 08:11:20,9.174594,0.032739,0.30057,279.323273
203,2025-04-04 08:11:21,9.174249,0.032849,0.300696,280.075226
204,2025-04-04 08:11:22,9.173434,0.03279,0.301328,281.504333
205,2025-04-04 08:11:23,9.173152,0.032605,0.301837,279.322723
206,2025-04-04 08:11:25,9.172285,0.032687,0.298849,280.7435
207,2025-04-04 08:11:26,9.171575,0.032765,0.301269,279.943787
208,2025-04-04 08:11:27,9.171355,0.032814,0.299981,279.770905
209,2025-04-04 08:11:28,9.169883,0.032605,0.298629,282.088989
210,2025-04-04 08:11:29,9.170018,0.032673,0.299256,280.493347
211,2025-04-04 08:11:30,9.170144,0.032751,0.298474,280.598511
212,2025-04-04 08:11:31,9.168818,0.032808,0.298749,281.520142
213,2025-04-04 08:11:32,9.168744,0.032589,0.300328,279.740265
214,2025-04-04 08:11:33,9.168212,0.032574,0.300179,280.000214
215,2025-04-04 08:11:34,9.168588,0.032739,0.299787,280.664764
216,2025-04-04 08:11:35,9.168107,0.032645,0.297653,280.464722
217,2025-04-04 08:11:37,9.166707,0.032844,0.30024,279.883423
218,2025-04-04 08:11:38,9.166833,0.032665,0.298036,279.173767
219,2025-04-04 08:11:39,9.1663,0.032605,0.299705,280.073547
220,2025-04-04 08:11:40,9.16488,0.032472,0.298247,278.723145
221,2025-04-04 08:11:41,9.164817,0.032787,0.298772,281.351776
222,2025-04-04 08:11:42,9.165036,0.032619,0.300274,280.603516
223,2025-04-04 08:11:43,9.164357,0.032637,0.30056,280.611816
224,2025-04-04 08:11:44,9.164169,0.032725,0.297588,280.144836
225,2025-04-04 08:11:45,9.163334,0.032861,0.299844,279.469269
226,2025-04-04 08:11:46,9.16302,0.032834,0.299976,282.012939
227,2025-04-04 08:11:47,9.162425,0.032653,0.299325,280.036163
228,2025-04-04 08:11:49,9.16231,0.032845,0.298699,278.772369
229,2025-04-04 08:11:50,9.16115,0.032643,0.299995,279.543579
230,2025-04-04 08:11:51,9.160471,0.032896,0.301595,278.334045
231,2025-04-04 08:11:52,9.15997,0.032796,0.300969,279.000397
232,2025-04-04 08:11:53,9.159323,0.032845,0.300148,278.894806
233,2025-04-04 08:11:54,9.159395,0.032636,0.301094,279.79657
234,2025-04-04 08:11:55,9.159103,0.032973,0.301455,277.662842
235,2025-04-04 08:11:56,9.158633,0.032809,0.300474,277.774414
236,2025-04-04 08:11:57,9.158048,0.032778,0.298873,280.191132
237,2025-04-04 08:11:58,9.158142,0.0328,0.297991,278.327454
238,2025-04-04 08:11:59,9.157432,0.032652,0.299906,279.269287
239,2025-04-04 08:12:01,9.156878,0.032909,0.299445,277.822601
240,2025-04-04 08:12:03,9.15504,0.032799,0.299929,279.446045
241,2025-04-04 08:12:04,9.154945,0.032738,0.298786,279.123566
242,2025-04-04 08:12:05,9.155029,0.032752,0.301556,278.463928
243,2025-04-04 08:12:06,9.154266,0.032896,0.302769,279.199524
244,2025-04-04 08:12:07,9.154329,0.032593,0.300114,277.860382
245,2025-04-04 08:12:08,9.15318,0.032831,0.301205,278.047394
246,2025-04-04 08:12:09,9.153149,0.03291,0.300594,279.181244
247,2025-04-04 08:12:10,9.152543,0.032816,0.300986,279.259705
248,2025-04-04 08:12:12,9.151896,0.03277,0.29948,279.415405
249,2025-04-04 08:12:13,9.151478,0.032819,0.30089,279.750153
250,2025-04-04 08:12:14,9.150246,0.032774,0.298625,280.168945
251,2025-04-04 08:12:15,9.149974,0.033048,0.299069,281.232086
252,2025-04-04 08:12:16,9.149409,0.032886,0.300161,278.905975
253,2025-04-04 08:12:17,9.149504,0.032745,0.299152,280.610718
254,2025-04-04 08:12:18,9.149023,0.032803,0.30049,278.047729
